epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6159,1.45571,3.05095,1.45949,0.01722,0.92888,0.42024,0.24512,1.12523,2.86593,1.16963,5.001e-05,5.001e-05,5.001e-05
2,42.7357,1.29824,2.79265,1.37363,0.0158,0.96875,0.51035,0.34096,0.97716,2.77925,1.06941,0.000115246,0.000115246,0.000115246
3,60.9413,1.28432,2.31094,1.30045,0.01521,1,0.55139,0.35247,1.03154,2.52864,1.04898,0.000178832,0.000178832,0.000178832
4,79.4918,1.26179,1.75366,1.28862,1,0.4331,0.54489,0.35498,1.09071,2.10052,1.10668,0.000240767,0.000240767,0.000240767
5,98.2048,1.27769,1.37673,1.29383,0.99868,0.44828,0.55519,0.37564,1.06318,1.97567,1.08503,0.000301052,0.000301052,0.000301052
6,115.751,1.25196,1.25591,1.25893,0.98266,0.44828,0.54544,0.36845,1.06785,1.87537,1.09356,0.000359687,0.000359687,0.000359687
7,133.072,1.24166,1.11159,1.24744,0.98527,0.44828,0.53856,0.35869,1.10129,1.74147,1.18209,0.000416671,0.000416671,0.000416671
8,150.79,1.20432,1.09133,1.24809,0.9858,0.44828,0.72921,0.47637,1.10887,1.57295,1.20102,0.000472005,0.000472005,0.000472005
9,168.096,1.19294,1.00643,1.25155,0.9982,0.44828,0.92744,0.58181,1.1855,1.38577,1.1891,0.000525688,0.000525688,0.000525688
10,185.475,1.16473,0.96157,1.21407,0.99551,0.43966,0.77432,0.51166,1.1472,1.28368,1.20577,0.000577722,0.000577722,0.000577722
11,202.963,1.15115,0.95008,1.19934,0.97264,0.4468,0.77759,0.52482,1.11356,1.33477,1.20695,0.000628105,0.000628105,0.000628105
12,220.708,1.16464,0.97389,1.20133,0.96591,0.47135,0.85758,0.5696,1.07341,1.31682,1.14788,0.000676837,0.000676837,0.000676837
13,240.398,1.17984,0.96218,1.19765,0.98211,0.46457,0.91396,0.60395,1.07631,1.30625,1.12041,0.00072392,0.00072392,0.00072392
14,260.445,1.19919,1.01077,1.21965,0.98261,0.47859,0.96463,0.62511,1.09035,1.26642,1.13178,0.000769352,0.000769352,0.000769352
15,281.402,1.10177,0.90737,1.17267,0.88695,0.49138,0.97992,0.66584,1.18897,1.2356,1.16589,0.000813133,0.000813133,0.000813133
16,300.315,1.12681,0.92709,1.17952,0.90207,0.49138,0.98638,0.65246,1.25393,1.2329,1.21057,0.000855265,0.000855265,0.000855265
17,318.654,1.16754,0.93939,1.18787,0.89584,0.49138,0.97046,0.65553,1.24473,1.25215,1.21983,0.000895746,0.000895746,0.000895746
18,337.115,1.12716,0.90213,1.16729,0.90885,0.68375,0.96119,0.63579,1.19724,1.27353,1.21523,0.000934576,0.000934576,0.000934576
19,355.557,1.13547,0.88673,1.18115,0.89272,0.84998,0.96052,0.63967,1.20722,1.28261,1.21997,0.000971757,0.000971757,0.000971757
20,373.847,1.09536,0.88013,1.14656,0.8816,0.53418,0.98325,0.62805,1.25381,1.24343,1.23077,0.00100729,0.00100729,0.00100729
21,392.302,1.12779,0.87459,1.16261,0.837,0.64728,0.98667,0.58595,1.23581,1.18105,1.2465,0.00104117,0.00104117,0.00104117
22,410.665,1.20359,0.93007,1.24863,0.81799,0.93693,0.98727,0.59396,1.25748,1.1159,1.25816,0.0010734,0.0010734,0.0010734
23,429.006,1.20998,0.89475,1.24232,0.83496,0.95209,0.9884,0.50595,1.46348,1.11844,1.37906,0.00110397,0.00110397,0.00110397
24,447.368,1.16651,0.88823,1.1916,0.86823,0.95103,0.98562,0.57419,1.3302,1.03158,1.29383,0.0011329,0.0011329,0.0011329
25,465.692,1.23627,0.89408,1.17847,0.84282,0.9082,0.98308,0.63132,1.18038,1.01996,1.22477,0.00116018,0.00116018,0.00116018
26,483.86,1.10278,0.869,1.14565,0.80357,0.84724,0.95556,0.60798,1.24321,1.07191,1.2581,0.00115127,0.00115127,0.00115127
27,502.062,1.1097,0.85762,1.18803,0.82997,0.91218,0.9505,0.60855,1.1968,1.07249,1.24328,0.00113064,0.00113064,0.00113064
28,520.14,1.07635,0.88281,1.19541,0.89823,0.87872,0.94759,0.66195,1.1528,1.07122,1.22404,0.00111001,0.00111001,0.00111001
29,538.389,1.06981,0.86935,1.13824,0.89511,0.88887,0.94649,0.65142,1.27471,1.09098,1.26553,0.00108938,0.00108938,0.00108938
30,556.704,1.071,0.84399,1.13777,0.87658,0.91449,0.95759,0.67635,1.16963,1.01907,1.22448,0.00106876,0.00106876,0.00106876
31,574.774,1.05269,0.8052,1.15348,0.92364,0.91525,0.95785,0.65768,1.19198,1.01619,1.23556,0.00104813,0.00104813,0.00104813
32,593.199,1.02795,0.81076,1.16948,0.96223,0.94537,0.97933,0.66286,1.17286,0.97353,1.22444,0.0010275,0.0010275,0.0010275
33,611.313,1.01425,0.79966,1.14547,0.95275,0.96525,0.97461,0.68269,1.1156,0.96599,1.21389,0.00100687,0.00100687,0.00100687
34,629.605,1.0503,0.80075,1.15141,0.9638,0.96552,0.97312,0.69235,1.05855,0.96227,1.18786,0.000986239,0.000986239,0.000986239
